trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-70.76820920543753,"{0: 16, 1: 6, 2: 0, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-76.21089575201748,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-74.40918162728569,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,3,-79.75230652625984,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-99.57547886842642,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-41.66278740136674,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-139.3920086201325,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-139.8463760215036,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-56.0970761921067,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-19.919577460684707,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,8.135346301789193,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-80.9268368120388,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-51.36673818665758,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-168.6625783829037,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-108.06025755042472,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-44.185406427492886,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,6,-30.969709190202302,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,4.948527815576318,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,12.01464305299374,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,19.854039708791277,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-9.810636723681567,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,3,-6.005612559048155,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,5,-20.45888060963,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,0,-39.042246943859425,"{0: 28, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-1.7702389668455374,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-32.1176128510451,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-37.62289837077011,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-28.4531610234739,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,7,-64.17278402249293,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",20,0,2.396989537219561,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
