trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999980000006666}",25,0,-155.20496225243133,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9999920000106667}",20,0,-140.88485032154068,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.999982000054}",30,0,-151.44687129123773,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9999680001706663}",35,0,-234.44884678806451,"{0: 18, 1: 7, 2: 4, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-65.0860721444846,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-126.50010486201892,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999020016006562}",20,0,-73.31476988530602,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9998720027306434}",25,0,-73.8376579759019,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-89.60217225510979,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,0,-112.10624247022783,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9997580097605092}",25,0,-62.627392744408525,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,0,-35.66066465590703,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9996620190402377}",25,0,-79.45224045333578,"{0: 16, 1: 4, 2: 2, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9996080256099974}",25,0,-113.79589528708425,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9995500337489875}",25,0,-92.65043234609158,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9994880436891754}",25,0,-168.72994987919526,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9994220556785212}",20,0,-18.40569838438517,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9993520699809768}",20,3,-71.35961627935657,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.9992780868764849}",20,0,-88.5402025159361,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-188.32390491813572,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.9991181296463766}",30,0,-166.6894873873208,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9990321561605888}",25,0,-139.59815449007064,"{0: 13, 1: 3, 2: 4, 3: 5, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9989421865475084}",20,0,-75.77147286239148,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-32.82150888719046,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,11,-73.80281957559396,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.9986483046232089}",25,0,-100.12051476479883,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9985423542595644}",25,0,-104.78008762030333,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9984324097278344}",25,0,-197.2108295516083,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9983184714677966}",20,0,-149.09588356791002,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-224.55825311946538,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
31,False,"{'a': 0.5, 'e': 0.9980786156017829}",30,0,-75.69667690793625,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.99795269895523}",30,0,-206.21944715484526,"{0: 13, 1: 5, 2: 8, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9978227904992117}",20,11,-50.82378233980771,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.9976888907533621}",25,0,-56.811982753878645,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9975510002532796}",20,4,-36.052461967805,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.9974091195505261}",25,0,-203.14758621565488,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.9972632492126244}",25,0,-79.46139369956799,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9971133898230555}",25,0,-139.28219816972882,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9969595419812568}",35,6,-159.84922909350865,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.9968017063026194}",25,0,-139.5851273511953,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9966398834184859}",20,0,-93.1445492228783,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9964740739761475}",20,9,-35.547148449186395,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.996304278638842}",25,0,-110.40544036702812,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9961304980857502}",25,0,-65.29895731469969,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,11,-35.55277252484326,"{0: 4, 1: 1, 2: 4, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.9957709841286342}",20,0,-168.66448549475479,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9955852521626654}",25,0,-78.31314653020443,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9953955378570153}",20,0,-68.54836825108465,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.995201841970541}",25,0,-233.99372650999143,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 5}",0
50,False,"{'a': 0.5, 'e': 0.9950041652780257}",30,0,-97.17245631901086,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.994802508570176}",20,0,-93.59009419487326,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9945968726536185}",25,0,-26.974694560524476,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9943872583508965}",30,0,-157.44440462183832,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9941736665004669}",30,0,-291.6173098082265,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 5}",0
55,False,"{'a': 0.5, 'e': 0.9939560979566968}",20,0,-134.33805129888393,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9937345535898603}",25,0,-180.4031093438534,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.9935090342861344}",25,0,-69.90160029260328,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
